TokenRewardQuestion,TokenRewardAnswer,TokenRewardLike,NFTPrice,CommunicationActivation
0.875,0.875,0.5,80.0,448
0.875,0.875,0.5,90.0,452
0.875,0.875,0.5,100.0,470
0.875,0.875,0.875,10.0,458
0.875,0.875,0.875,20.0,470
0.875,0.875,0.875,30.0,444
0.875,0.875,0.875,40.0,460
0.875,0.875,0.875,50.0,458
0.875,0.875,0.875,60.0,458
0.875,0.875,0.875,70.0,452
0.875,0.875,0.875,80.0,458
0.875,0.875,0.875,90.0,440
0.875,0.875,0.875,100.0,458
0.875,0.875,1.25,10.0,466
0.875,0.875,1.25,20.0,456
0.875,0.875,1.25,30.0,470
0.875,0.875,1.25,40.0,460
0.875,0.875,1.25,50.0,456
0.875,0.875,1.25,60.0,458
0.875,0.875,1.25,70.0,458
0.875,0.875,1.25,80.0,460
0.875,0.875,1.25,90.0,444
0.875,0.875,1.25,100.0,472
0.875,0.875,1.625,10.0,468
0.875,0.875,1.625,20.0,458
0.875,0.875,1.625,30.0,462
0.875,0.875,1.625,40.0,448
0.875,0.875,1.625,50.0,462
0.875,0.875,1.625,60.0,452
0.875,0.875,1.625,70.0,446
0.875,0.875,1.625,80.0,442
0.875,0.875,1.625,90.0,456
0.875,0.875,1.625,100.0,448
0.875,0.875,2.0,10.0,444
0.875,0.875,2.0,20.0,444
0.875,0.875,2.0,30.0,456
0.875,0.875,2.0,40.0,458
0.875,0.875,2.0,50.0,456
0.875,0.875,2.0,60.0,460
0.875,0.875,2.0,70.0,462
0.875,0.875,2.0,80.0,462
0.875,0.875,2.0,90.0,444
0.875,0.875,2.0,100.0,464
0.875,1.25,0.5,10.0,462
0.875,1.25,0.5,20.0,446
0.875,1.25,0.5,30.0,462
0.875,1.25,0.5,40.0,458
0.875,1.25,0.5,50.0,450
0.875,1.25,0.5,60.0,452
0.875,1.25,0.5,70.0,458
0.875,1.25,0.5,80.0,468
0.875,1.25,0.5,90.0,458
0.875,1.25,0.5,100.0,446
0.875,1.25,0.875,10.0,460
0.875,1.25,0.875,20.0,450
0.875,1.25,0.875,30.0,466
0.875,1.25,0.875,40.0,460
0.875,1.25,0.875,50.0,458
0.875,1.25,0.875,60.0,456
0.875,1.25,0.875,70.0,450
0.875,1.25,0.875,80.0,454
0.875,1.25,0.875,90.0,440
0.875,1.25,0.875,100.0,456
0.875,1.25,1.25,10.0,452
0.875,1.25,1.25,20.0,458
0.875,1.25,1.25,30.0,452
0.875,1.25,1.25,40.0,462
0.875,1.25,1.25,50.0,448
0.875,1.25,1.25,60.0,462
0.875,1.25,1.25,70.0,454
0.875,1.25,1.25,80.0,464
0.875,1.25,1.25,90.0,452
0.875,1.25,1.25,100.0,468
0.875,1.25,1.625,10.0,450
0.875,1.25,1.625,20.0,458
0.875,1.25,1.625,30.0,450
0.875,1.25,1.625,40.0,466
0.875,1.25,1.625,50.0,462
0.875,1.25,1.625,60.0,444
0.875,1.25,1.625,70.0,468
0.875,1.25,1.625,80.0,456
0.875,1.25,1.625,90.0,466
0.875,1.25,1.625,100.0,452
0.875,1.25,2.0,10.0,452
0.875,1.25,2.0,20.0,466
0.875,1.25,2.0,30.0,460
0.875,1.25,2.0,40.0,470
0.875,1.25,2.0,50.0,464
0.875,1.25,2.0,60.0,466
0.875,1.25,2.0,70.0,460
0.875,1.25,2.0,80.0,448
0.875,1.25,2.0,90.0,458
0.875,1.25,2.0,100.0,454
0.875,1.625,0.5,10.0,446
0.875,1.625,0.5,20.0,450
0.875,1.625,0.5,30.0,462
0.875,1.625,0.5,40.0,476
0.875,1.625,0.5,50.0,440
0.875,1.625,0.5,60.0,452
0.875,1.625,0.5,70.0,452
0.875,1.625,0.5,80.0,452
0.875,1.625,0.5,90.0,458
0.875,1.625,0.5,100.0,462
0.875,1.625,0.875,10.0,466
0.875,1.625,0.875,20.0,458
0.875,1.625,0.875,30.0,452
0.875,1.625,0.875,40.0,458
0.875,1.625,0.875,50.0,446
0.875,1.625,0.875,60.0,458
0.875,1.625,0.875,70.0,446
0.875,1.625,0.875,80.0,450
0.875,1.625,0.875,90.0,458
0.875,1.625,0.875,100.0,464
0.875,1.625,1.25,10.0,456
0.875,1.625,1.25,20.0,460
0.875,1.625,1.25,30.0,448
0.875,1.625,1.25,40.0,456
0.875,1.625,1.25,50.0,464
0.875,1.625,1.25,60.0,454
0.875,1.625,1.25,70.0,460
0.875,1.625,1.25,80.0,478
0.875,1.625,1.25,90.0,450
0.875,1.625,1.25,100.0,462
0.875,1.625,1.625,10.0,452
0.875,1.625,1.625,20.0,450
0.875,1.625,1.625,30.0,462
0.875,1.625,1.625,40.0,448
0.875,1.625,1.625,50.0,464
0.875,1.625,1.625,60.0,470
0.875,1.625,1.625,70.0,450
0.875,1.625,1.625,80.0,456
0.875,1.625,1.625,90.0,450
0.875,1.625,1.625,100.0,474
0.875,1.625,2.0,10.0,452
0.875,1.625,2.0,20.0,442
0.875,1.625,2.0,30.0,462
0.875,1.625,2.0,40.0,448
0.875,1.625,2.0,50.0,452
0.875,1.625,2.0,60.0,454
0.875,1.625,2.0,70.0,456
0.875,1.625,2.0,80.0,462
0.875,1.625,2.0,90.0,456
0.875,1.625,2.0,100.0,462
0.875,2.0,0.5,10.0,462
0.875,2.0,0.5,20.0,458
0.875,2.0,0.5,30.0,460
0.875,2.0,0.5,40.0,450
0.875,2.0,0.5,50.0,458
0.875,2.0,0.5,60.0,472
0.875,2.0,0.5,70.0,450
0.875,2.0,0.5,80.0,470
0.875,2.0,0.5,90.0,452
0.875,2.0,0.5,100.0,456
0.875,2.0,0.875,10.0,444
0.875,2.0,0.875,20.0,466
0.875,2.0,0.875,30.0,468
0.875,2.0,0.875,40.0,468
0.875,2.0,0.875,50.0,450
0.875,2.0,0.875,60.0,464
0.875,2.0,0.875,70.0,444
0.875,2.0,0.875,80.0,452
0.875,2.0,0.875,90.0,454
0.875,2.0,0.875,100.0,462
0.875,2.0,1.25,10.0,452
0.875,2.0,1.25,20.0,456
0.875,2.0,1.25,30.0,462
0.875,2.0,1.25,40.0,468
0.875,2.0,1.25,50.0,458
0.875,2.0,1.25,60.0,466
0.875,2.0,1.25,70.0,446
0.875,2.0,1.25,80.0,454
0.875,2.0,1.25,90.0,456
0.875,2.0,1.25,100.0,454
0.875,2.0,1.625,10.0,440
0.875,2.0,1.625,20.0,472
0.875,2.0,1.625,30.0,452
0.875,2.0,1.625,40.0,460
0.875,2.0,1.625,50.0,456
0.875,2.0,1.625,60.0,452
0.875,2.0,1.625,70.0,444
0.875,2.0,1.625,80.0,462
0.875,2.0,1.625,90.0,470
0.875,2.0,1.625,100.0,466
0.875,2.0,2.0,10.0,458
0.875,2.0,2.0,20.0,450
0.875,2.0,2.0,30.0,460
0.875,2.0,2.0,40.0,456
0.875,2.0,2.0,50.0,452
0.875,2.0,2.0,60.0,470
0.875,2.0,2.0,70.0,478
0.875,2.0,2.0,80.0,460
0.875,2.0,2.0,90.0,452
0.875,2.0,2.0,100.0,462
1.25,0.5,0.5,10.0,454
1.25,0.5,0.5,20.0,472
1.25,0.5,0.5,30.0,456
1.25,0.5,0.5,40.0,466
1.25,0.5,0.5,50.0,452
1.25,0.5,0.5,60.0,450
1.25,0.5,0.5,70.0,456
1.25,0.5,0.5,80.0,446
1.25,0.5,0.5,90.0,458
1.25,0.5,0.5,100.0,448
1.25,0.5,0.875,10.0,456
1.25,0.5,0.875,20.0,462
1.25,0.5,0.875,30.0,456
1.25,0.5,0.875,40.0,458
1.25,0.5,0.875,50.0,462
1.25,0.5,0.875,60.0,478
1.25,0.5,0.875,70.0,452
1.25,0.5,0.875,80.0,458
1.25,0.5,0.875,90.0,454
1.25,0.5,0.875,100.0,442
1.25,0.5,1.25,10.0,456
1.25,0.5,1.25,20.0,444
1.25,0.5,1.25,30.0,452
1.25,0.5,1.25,40.0,448
1.25,0.5,1.25,50.0,454
1.25,0.5,1.25,60.0,448
1.25,0.5,1.25,70.0,458
1.25,0.5,1.25,80.0,458
1.25,0.5,1.25,90.0,458
1.25,0.5,1.25,100.0,452
1.25,0.5,1.625,10.0,460
1.25,0.5,1.625,20.0,444
1.25,0.5,1.625,30.0,460
1.25,0.5,1.625,40.0,456
1.25,0.5,1.625,50.0,452
1.25,0.5,1.625,60.0,456
1.25,0.5,1.625,70.0,450
1.25,0.5,1.625,80.0,452
1.25,0.5,1.625,90.0,452
1.25,0.5,1.625,100.0,458
1.25,0.5,2.0,10.0,472
1.25,0.5,2.0,20.0,452
1.25,0.5,2.0,30.0,474
1.25,0.5,2.0,40.0,456
1.25,0.5,2.0,50.0,444
1.25,0.5,2.0,60.0,452
1.25,0.5,2.0,70.0,450
1.25,0.5,2.0,80.0,462
1.25,0.5,2.0,90.0,444
1.25,0.5,2.0,100.0,440
1.25,0.875,0.5,10.0,472
1.25,0.875,0.5,20.0,448
1.25,0.875,0.5,30.0,460
1.25,0.875,0.5,40.0,468
1.25,0.875,0.5,50.0,460
1.25,0.875,0.5,60.0,438
1.25,0.875,0.5,70.0,450
1.25,0.875,0.5,80.0,454
1.25,0.875,0.5,90.0,456
1.25,0.875,0.5,100.0,440
1.25,0.875,0.875,10.0,460
1.25,0.875,0.875,20.0,448
1.25,0.875,0.875,30.0,464
1.25,0.875,0.875,40.0,454
1.25,0.875,0.875,50.0,458
1.25,0.875,0.875,60.0,440
1.25,0.875,0.875,70.0,464
1.25,0.875,0.875,80.0,462
1.25,0.875,0.875,90.0,434
1.25,0.875,0.875,100.0,446
1.25,0.875,1.25,10.0,462
1.25,0.875,1.25,20.0,462
1.25,0.875,1.25,30.0,464
1.25,0.875,1.25,40.0,444
1.25,0.875,1.25,50.0,460
1.25,0.875,1.25,60.0,464
1.25,0.875,1.25,70.0,448
1.25,0.875,1.25,80.0,460
1.25,0.875,1.25,90.0,448
1.25,0.875,1.25,100.0,458
1.25,0.875,1.625,10.0,454
1.25,0.875,1.625,20.0,474
1.25,0.875,1.625,30.0,460
1.25,0.875,1.625,40.0,460
1.25,0.875,1.625,50.0,450
1.25,0.875,1.625,60.0,452
1.25,0.875,1.625,70.0,456
1.25,0.875,1.625,80.0,464
1.25,0.875,1.625,90.0,464
1.25,0.875,1.625,100.0,462
1.25,0.875,2.0,10.0,448
1.25,0.875,2.0,20.0,470
1.25,0.875,2.0,30.0,448
1.25,0.875,2.0,40.0,454
1.25,0.875,2.0,50.0,450
1.25,0.875,2.0,60.0,466
1.25,0.875,2.0,70.0,458
1.25,0.875,2.0,80.0,444
1.25,0.875,2.0,90.0,458
1.25,0.875,2.0,100.0,460
1.25,1.25,0.5,10.0,452
1.25,1.25,0.5,20.0,456
1.25,1.25,0.5,30.0,450
1.25,1.25,0.5,40.0,460
1.25,1.25,0.5,50.0,450
1.25,1.25,0.5,60.0,436
1.25,1.25,0.5,70.0,454
1.25,1.25,0.5,80.0,468
1.25,1.25,0.5,90.0,454
1.25,1.25,0.5,100.0,442
1.25,1.25,0.875,10.0,460
1.25,1.25,0.875,20.0,462
1.25,1.25,0.875,30.0,454
1.25,1.25,0.875,40.0,452
1.25,1.25,0.875,50.0,458
1.25,1.25,0.875,60.0,464
1.25,1.25,0.875,70.0,454
1.25,1.25,0.875,80.0,456
1.25,1.25,0.875,90.0,468
1.25,1.25,0.875,100.0,456
1.25,1.25,1.25,10.0,450
1.25,1.25,1.25,20.0,466
1.25,1.25,1.25,30.0,462
1.25,1.25,1.25,40.0,452
1.25,1.25,1.25,50.0,456
1.25,1.25,1.25,60.0,454
1.25,1.25,1.25,70.0,454
1.25,1.25,1.25,80.0,452
1.25,1.25,1.25,90.0,454
1.25,1.25,1.25,100.0,450
1.25,1.25,1.625,10.0,448
1.25,1.25,1.625,20.0,456
1.25,1.25,1.625,30.0,462
1.25,1.25,1.625,40.0,466
1.25,1.25,1.625,50.0,462
1.25,1.25,1.625,60.0,442
1.25,1.25,1.625,70.0,446
1.25,1.25,1.625,80.0,444
1.25,1.25,1.625,90.0,454
1.25,1.25,1.625,100.0,440
1.25,1.25,2.0,10.0,472
1.25,1.25,2.0,20.0,456
1.25,1.25,2.0,30.0,456
1.25,1.25,2.0,40.0,462
1.25,1.25,2.0,50.0,450
1.25,1.25,2.0,60.0,458
1.25,1.25,2.0,70.0,462
1.25,1.25,2.0,80.0,452
1.25,1.25,2.0,90.0,444
1.25,1.25,2.0,100.0,454
1.25,1.625,0.5,10.0,454
1.25,1.625,0.5,20.0,456
1.25,1.625,0.5,30.0,468
1.25,1.625,0.5,40.0,452
1.25,1.625,0.5,50.0,460
1.25,1.625,0.5,60.0,458
1.25,1.625,0.5,70.0,454
1.25,1.625,0.5,80.0,452
1.25,1.625,0.5,90.0,458
1.25,1.625,0.5,100.0,448
1.25,1.625,0.875,10.0,464
1.25,1.625,0.875,20.0,452
1.25,1.625,0.875,30.0,450
1.25,1.625,0.875,40.0,452
1.25,1.625,0.875,50.0,462
1.25,1.625,0.875,60.0,452
1.25,1.625,0.875,70.0,452
1.25,1.625,0.875,80.0,462
1.25,1.625,0.875,90.0,472
1.25,1.625,0.875,100.0,452
1.25,1.625,1.25,10.0,446
1.25,1.625,1.25,20.0,452
1.25,1.625,1.25,30.0,450
1.25,1.625,1.25,40.0,452
1.25,1.625,1.25,50.0,444
1.25,1.625,1.25,60.0,466
1.25,1.625,1.25,70.0,460
1.25,1.625,1.25,80.0,468
1.25,1.625,1.25,90.0,444
1.25,1.625,1.25,100.0,452
1.25,1.625,1.625,10.0,470
1.25,1.625,1.625,20.0,446
1.25,1.625,1.625,30.0,460
1.25,1.625,1.625,40.0,472
1.25,1.625,1.625,50.0,456
1.25,1.625,1.625,60.0,446
1.25,1.625,1.625,70.0,466
1.25,1.625,1.625,80.0,456
1.25,1.625,1.625,90.0,460
1.25,1.625,1.625,100.0,448
1.25,1.625,2.0,10.0,446
1.25,1.625,2.0,20.0,456
1.25,1.625,2.0,30.0,442
1.25,1.625,2.0,40.0,456
1.25,1.625,2.0,50.0,468
1.25,1.625,2.0,60.0,450
1.25,1.625,2.0,70.0,434
1.25,1.625,2.0,80.0,438
1.25,1.625,2.0,90.0,458
1.25,1.625,2.0,100.0,460
1.25,2.0,0.5,10.0,450
1.25,2.0,0.5,20.0,456
1.25,2.0,0.5,30.0,460
1.25,2.0,0.5,40.0,438
1.25,2.0,0.5,50.0,472
1.25,2.0,0.5,60.0,446
1.25,2.0,0.5,70.0,462
1.25,2.0,0.5,80.0,462
1.25,2.0,0.5,90.0,456
1.25,2.0,0.5,100.0,460
1.25,2.0,0.875,10.0,470
1.25,2.0,0.875,20.0,456
1.25,2.0,0.875,30.0,452
1.25,2.0,0.875,40.0,464
1.25,2.0,0.875,50.0,458
1.25,2.0,0.875,60.0,446
1.25,2.0,0.875,70.0,450
1.25,2.0,0.875,80.0,456
1.25,2.0,0.875,90.0,458
1.25,2.0,0.875,100.0,456
1.25,2.0,1.25,10.0,458
1.25,2.0,1.25,20.0,454
1.25,2.0,1.25,30.0,458
1.25,2.0,1.25,40.0,454
1.25,2.0,1.25,50.0,460
1.25,2.0,1.25,60.0,450
1.25,2.0,1.25,70.0,460
1.25,2.0,1.25,80.0,456
1.25,2.0,1.25,90.0,456
1.25,2.0,1.25,100.0,466
1.25,2.0,1.625,10.0,466
1.25,2.0,1.625,20.0,456
1.25,2.0,1.625,30.0,468
1.25,2.0,1.625,40.0,458
1.25,2.0,1.625,50.0,454
1.25,2.0,1.625,60.0,462
1.25,2.0,1.625,70.0,466
1.25,2.0,1.625,80.0,460
1.25,2.0,1.625,90.0,466
1.25,2.0,1.625,100.0,460
1.25,2.0,2.0,10.0,446
1.25,2.0,2.0,20.0,454
1.25,2.0,2.0,30.0,458
1.25,2.0,2.0,40.0,466
1.25,2.0,2.0,50.0,474
1.25,2.0,2.0,60.0,466
1.25,2.0,2.0,70.0,460
1.25,2.0,2.0,80.0,464
1.25,2.0,2.0,90.0,468
1.25,2.0,2.0,100.0,470
1.625,0.5,0.5,10.0,464
1.625,0.5,0.5,20.0,456
1.625,0.5,0.5,30.0,444
1.625,0.5,0.5,40.0,458
1.625,0.5,0.5,50.0,448
1.625,0.5,0.5,60.0,452
1.625,0.5,0.5,70.0,448
1.625,0.5,0.5,80.0,470
1.625,0.5,0.5,90.0,440
1.625,0.5,0.5,100.0,450
1.625,0.5,0.875,10.0,446
1.625,0.5,0.875,20.0,466
1.625,0.5,0.875,30.0,446
1.625,0.5,0.875,40.0,464
1.625,0.5,0.875,50.0,464
1.625,0.5,0.875,60.0,456
1.625,0.5,0.875,70.0,454
1.625,0.5,0.875,80.0,454
1.625,0.5,0.875,90.0,466
1.625,0.5,0.875,100.0,458
1.625,0.5,1.25,10.0,458
1.625,0.5,1.25,20.0,448
